species	longitude	latitude
Streptanthus_tortuosus	-121.56	39.71
Streptanthus_tortuosus	-121.43	39.59
Streptanthus_tortuosus	-121.21	39.55
Streptanthus_tortuosus	-121.33	39.52
Streptanthus_tortuosus	-121.14	39.63
Streptanthus_tortuosus	-121.31	39.78
Streptanthus_tortuosus	-123.65	39.93
Streptanthus_tortuosus	-120.75	39.73
Streptanthus_tortuosus	-120.66	39.68
Streptanthus_tortuosus	-121.56	40.45
Streptanthus_tortuosus	-120.68	39.69
Streptanthus_tortuosus	-118.57	36.08
Streptanthus_tortuosus	-120.89	39.86
Streptanthus_tortuosus	-119.01	37.62
Streptanthus_tortuosus	-120.9	39.68
Streptanthus_tortuosus	-121.42	39.98
Streptanthus_tortuosus	-120.38	39.25
Streptanthus_tortuosus	-121.45	39.78
Streptanthus_tortuosus	-121.22	40.01
Streptanthus_tortuosus	-121.5	36.05
Streptanthus_tortuosus	-123.08	39.88
Streptanthus_tortuosus	-120.95	39.52
Streptanthus_tortuosus	-123.03	40.88
Streptanthus_tortuosus	-120.65	39.62
Streptanthus_tortuosus	-118.66	36.58
Streptanthus_tortuosus	-120.21	37.89
